iter	MultiQuantile:alpha=0.5,0.7
0	0.3437944416
1	0.3433700733
2	0.342963442
3	0.3425365893
4	0.3421722951
5	0.3418276216
6	0.3413373094
7	0.341092307
8	0.3409426186
9	0.3405797413
10	0.3404195863
11	0.3402465046
12	0.3399470327
13	0.339546115
14	0.3392565623
15	0.3389614036
16	0.3386250685
17	0.3383226461
18	0.3381203695
19	0.3379274175
20	0.3377202453
21	0.3373935402
22	0.3370997698
23	0.3370312053
24	0.3367859815
25	0.3365872649
26	0.3363860324
27	0.3361777123
28	0.3359381833
29	0.3356664241
30	0.3353992277
31	0.3351371981
32	0.3349178857
33	0.3346559746
34	0.3344105942
35	0.334198544
36	0.3339651111
37	0.3337815131
38	0.333591375
39	0.3332515515
40	0.3330466831
41	0.3328379341
42	0.3325626865
43	0.3324713243
44	0.332304034
45	0.3320818844
46	0.3318133636
47	0.3315741786
48	0.3313330474
49	0.3310893258
50	0.3309207235
51	0.3307924973
52	0.330616303
53	0.3304316138
54	0.3301922175
55	0.3300386024
56	0.3297213567
57	0.3295516429
58	0.3293640734
59	0.3291222993
60	0.3289585196
61	0.3288511022
62	0.3286418321
63	0.3285401753
64	0.3281987947
65	0.3280118215
66	0.3277745088
67	0.327684274
68	0.3274772755
69	0.3273119807
70	0.3271591833
71	0.3269602802
72	0.3267981402
73	0.326567358
74	0.3263580177
75	0.3261797046
76	0.3259867861
77	0.3258442916
78	0.3256493132
79	0.3255010931
80	0.3253661625
81	0.3252350448
82	0.3251488955
83	0.3250368249
84	0.324910603
85	0.3247097301
86	0.3245342885
87	0.3244650038
88	0.3242243158
89	0.3240843162
90	0.3239562029
91	0.3237292002
92	0.3236597769
93	0.3235337314
94	0.3234072596
95	0.3232753349
96	0.3231668974
97	0.3229368571
98	0.3228036899
99	0.322680309
