iter	Passed	Remaining
0	3	297
1	4	240
2	6	217
3	9	217
4	11	216
5	13	214
6	16	212
7	18	207
8	19	200
9	21	195
10	23	187
11	25	184
12	27	184
13	31	193
14	33	188
15	35	185
16	37	181
17	40	185
18	43	183
19	45	182
20	48	180
21	49	177
22	52	175
23	54	172
24	56	169
25	58	167
26	61	166
27	63	164
28	66	162
29	68	159
30	71	158
31	73	156
32	76	154
33	78	152
34	80	149
35	83	147
36	85	146
37	88	144
38	90	141
39	93	139
40	94	136
41	96	133
42	98	130
43	99	126
44	101	124
45	103	121
46	107	120
47	109	118
48	112	116
49	115	115
50	118	113
51	122	113
52	129	114
53	134	114
54	145	119
55	151	119
56	156	118
57	162	117
58	168	116
59	174	116
60	181	115
61	185	113
62	193	113
63	200	113
64	208	112
65	215	110
66	219	108
67	225	106
68	230	103
69	235	100
70	238	97
71	244	94
72	251	93
73	258	90
74	263	87
75	268	84
76	274	81
77	282	79
78	294	78
79	304	76
80	307	72
81	313	68
82	322	65
83	329	62
84	333	58
85	343	55
86	350	52
87	357	48
88	359	44
89	361	40
90	363	35
91	365	31
92	368	27
93	370	23
94	374	19
95	378	15
96	383	11
97	387	7
98	390	3
99	392	0
